ID,CAPACIDAD,NOMBRE,TELEFONO,DIRECCION,ESTRELLAS,RUT,HABDISPONIBLES,HABOCUPADAS,HORACIERRE,HORAAPERTURA,CEDULA,EDAD,TIPO
263,1,Matsoft,785 138 8362,35 Arkansas Place,4,35-004-4271,23,150,null,null,null,null,hotel
264,3,Voltsillam,178 178 7311,77 Badeau Circle,5,58-729-8173,97,1,null,null,null,null,hotel
265,3,Duobam,308 951 2059,4 Hovde Terrace,4,85-168-8593,91,70,null,null,null,null,hotel
266,4,Domainer,797 345 2916,10985 Dexter Point,4,84-973-7352,99,133,null,null,null,null,hotel
267,2,Trippledex,975 105 1280,65 Rieder Circle,4,11-896-9503,55,115,null,null,null,null,hotel
268,4,Cookley,357 636 5377,94 Glendale Avenue,3,10-762-8787,36,37,null,null,null,null,hotel
269,3,Bytecard,374 173 1528,97 Loomis Parkway,5,15-972-6261,29,141,null,null,null,null,hotel
270,3,Cookley,366 486 7034,43598 Crescent Oaks Road,2,64-442-6348,86,21,null,null,null,null,hotel
271,4,Voyatouch,726 687 0457,74923 Sycamore Lane,4,63-352-8875,15,119,null,null,null,null,hotel
272,4,Viva,292 592 6907,47839 Talmadge Point,3,58-994-7824,44,51,null,null,null,null,hotel
273,2,Bytecard,662 912 1057,316 Canary Terrace,2,55-293-4641,26,1,null,null,null,null,hotel
274,4,Asoka,302 967 1801,66 Crest Line Junction,5,66-520-0648,94,10,null,null,null,null,hotel
275,4,It,290 865 1260,0260 6th Avenue,4,85-806-5660,104,57,null,null,null,null,hotel
276,1,Voltsillam,949 341 9377,3380 Dryden Junction,3,60-723-5616,106,26,null,null,null,null,hotel
277,1,Fintone,481 330 9760,65 Manufacturers Way,4,62-549-2591,11,79,null,null,null,null,hotel
278,1,Alpha,646 884 2230,0 Rigney Terrace,3,76-251-9660,11,65,null,null,null,null,hotel
279,4,Andalax,489 772 8473,76 Bunting Park,3,91-310-1072,141,66,null,null,null,null,hotel
280,3,Redhold,784 409 0784,27 Oxford Court,3,47-645-6478,89,53,null,null,null,null,hotel
281,4,Wrapsafe,249 596 9663,883 Ruskin Lane,5,27-454-3729,116,42,null,null,null,null,hotel
282,3,Domainer,882 701 0647,43 Sunbrook Court,3,28-536-4101,16,52,null,null,null,null,hotel
283,3,Namfix,832 899 5810,951 Vidon Crossing,3,18-420-2470,124,159,null,null,null,null,hotel
284,4,Toughjoyfax,107 976 4141,09050 Kim Avenue,5,79-093-6575,115,152,null,null,null,null,hotel
285,4,Bytecard,722 473 5699,541 Birchwood Center,4,92-222-1825,81,126,null,null,null,null,hotel
286,1,Alpha,578 763 2358,96392 Lighthouse Bay Road,4,29-463-8359,17,66,null,null,null,null,hotel
287,4,Span,716 873 2104,75 5th Point,3,57-708-9058,149,98,null,null,null,null,hotel
288,3,Gembucket,546 911 8392,75088 Morrow Pass,5,63-393-8191,64,101,null,null,null,null,hotel
289,3,Domainer,741 977 1016,21217 Derek Lane,3,49-997-6336,15,78,null,null,null,null,hotel
290,1,Trippledex,730 775 8259,2 Prairieview Plaza,4,82-923-2529,147,96,null,null,null,null,hotel
291,2,Opela,181 813 0803,291 Pine View Plaza,4,45-885-8547,13,53,null,null,null,null,hotel
292,3,Domainer,637 889 6186,48 East Trail,2,55-986-9956,86,95,null,null,null,null,hotel
293,2,Span,932 731 8025,20896 Shelley Park,4,83-818-5970,136,120,null,null,null,null,hotel
294,4,Zontrax,855 677 7293,6 Moulton Park,5,90-707-3019,128,33,null,null,null,null,hotel
295,2,Viva,989 238 8919,83737 Sullivan Lane,3,13-045-1853,1,107,null,null,null,null,hotel
296,3,Ventosanzap,216 456 6467,07 Hansons Street,4,00-808-5908,106,87,null,null,null,null,hotel
297,4,Prodder,144 902 9018,9035 Portage Avenue,5,68-462-9023,160,75,null,null,null,null,hotel
298,3,Namfix,405 970 6125,5 Lien Parkway,3,85-663-2992,98,66,null,null,null,null,hotel
299,4,Wrapsafe,300 110 9451,298 Hauk Junction,3,25-876-5194,59,72,null,null,null,null,hotel
300,2,Transcof,447 220 6126,502 Hintze Hill,4,75-814-7251,48,86,null,null,null,null,hotel
301,3,Ronstring,954 953 4867,067 Melody Way,5,06-716-5253,8,102,null,null,null,null,hotel
302,2,Zathin,384 350 6938,66 Emmet Hill,4,38-869-5155,81,5,null,null,null,null,hotel
303,2,Zamit,335 855 8104,654 Waubesa Park,2,07-575-1663,108,88,null,null,null,null,hotel
304,4,Span,622 476 9120,44 Leroy Drive,3,96-472-9643,32,160,null,null,null,null,hotel
305,1,Home Ing,741 447 2656,6295 Iowa Center,2,06-642-3256,17,40,null,null,null,null,hotel
306,1,Cardguard,450 784 4285,52726 Kipling Way,2,44-538-2343,21,143,null,null,null,null,hotel
307,4,Zontrax,571 476 8964,28 Kinsman Pass,5,43-977-8275,130,52,null,null,null,null,hotel
308,4,Aerified,477 131 7424,5 Del Sol Plaza,2,94-047-3631,58,89,null,null,null,null,hotel
309,4,Veribet,775 443 3564,62 Northridge Center,3,76-595-5935,50,159,null,null,null,null,hotel
310,4,Domainer,288 414 6306,74869 Emmet Avenue,4,08-458-6174,5,102,null,null,null,null,hotel
311,3,Gembucket,690 152 2172,2064 Hanson Terrace,3,24-031-1956,18,6,null,null,null,null,hotel
312,4,Kanlam,953 656 9599,5 Cascade Hill,3,75-199-9562,31,158,null,null,null,null,hotel
313,3,Keylex,308 592 6056,3 Vera Point,3,43-072-5459,83,118,null,null,null,null,hotel
314,3,Span,388 610 9386,29 Grim Junction,3,44-221-4974,20,123,null,null,null,null,hotel
315,2,Zoolab,226 210 1655,77476 Mcguire Center,3,21-588-4933,50,33,null,null,null,null,hotel
316,1,Cookley,611 159 4656,305 Havey Circle,5,70-543-6382,84,36,null,null,null,null,hotel
317,1,Toughjoyfax,488 563 7104,9 Nevada Park,4,35-548-8602,8,19,null,null,null,null,hotel
318,3,Fix San,493 247 8888,11 Parkside Alley,4,71-138-7563,5,149,null,null,null,null,hotel
319,1,Alphazap,272 168 0466,54847 Stoughton Parkway,5,46-244-5655,54,111,null,null,null,null,hotel
320,3,Bigtax,984 858 1405,45119 Golden Leaf Circle,5,30-516-6392,91,158,null,null,null,null,hotel
321,4,Bitchip,935 213 3352,3140 Arkansas Circle,5,60-805-2766,107,95,null,null,null,null,hotel
322,2,Regrant,475 763 2503,98 Stone Corner Way,4,75-149-8680,147,41,null,null,null,null,hotel
323,1,Home Ing,316 333 6575,485 Truax Lane,3,89-535-9985,84,26,null,null,null,null,hotel
324,4,Bigtax,963 931 6403,7 Fisk Park,4,69-818-2236,7,112,null,null,null,null,hotel
325,1,Cardguard,945 562 1198,69399 Delaware Point,2,14-702-4540,6,114,null,null,null,null,hotel
326,1,Namfix,496 523 2168,717 Elgar Place,4,82-136-0496,47,24,null,null,null,null,hotel
327,3,Latlux,929 682 5028,26947 School Court,2,14-254-2336,77,54,null,null,null,null,hotel
328,3,Trippledex,468 643 2598,2436 Mifflin Trail,3,76-437-1914,96,94,null,null,null,null,hotel
329,3,Solarbreeze,764 334 7365,076 Anthes Way,4,33-502-1689,149,50,null,null,null,null,hotel
330,1,Otcom,960 346 4914,3 8th Hill,5,52-815-7709,149,117,null,null,null,null,hotel
331,1,Zathin,940 893 3555,42824 Schmedeman Park,2,90-484-1998,160,146,null,null,null,null,hotel
332,4,Wrapsafe,137 167 5711,7380 Jenifer Alley,5,94-365-9503,72,156,null,null,null,null,hotel
333,3,Zamit,812 694 5042,6 Forest Run Center,5,95-797-5651,123,120,null,null,null,null,hotel
334,4,Overhold,542 404 3309,5050 Sundown Pass,4,26-202-8780,139,68,null,null,null,null,hotel
335,2,Bamity,331 698 6116,4595 Fairview Park,5,71-734-4230,98,122,null,null,null,null,hotel
336,4,Tresom,556 983 4867,97 Quincy Road,2,71-916-0413,157,89,null,null,null,null,hotel
337,2,Zoolab,514 350 7889,3570 Claremont Crossing,5,52-554-7832,144,72,null,null,null,null,hotel
338,1,Aerified,561 585 9504,4406 Schmedeman Alley,3,75-038-6969,111,28,null,null,null,null,hotel
339,3,Fintone,140 516 9495,43891 Village Green Parkway,2,47-002-6224,109,28,null,null,null,null,hotel
340,3,Alpha,797 796 0495,04538 Lawn Junction,4,75-057-8673,44,109,null,null,null,null,hotel
341,2,Veribet,253 947 3337,55 Haas Drive,4,22-301-3354,8,120,null,null,null,null,hotel
342,2,Namfix,712 655 3070,7 Nelson Road,5,26-697-1578,87,24,null,null,null,null,hotel
343,1,Bitchip,154 572 4934,122 Mosinee Street,5,15-856-9730,136,34,null,null,null,null,hotel
344,2,Tempsoft,425 547 9793,51 Homewood Crossing,5,46-323-6634,85,62,null,null,null,null,hotel
345,2,Tres-Zap,982 473 7279,74594 Nancy Circle,4,41-976-5404,82,127,null,null,null,null,hotel
346,2,Holdlamis,765 597 2025,36871 Fordem Parkway,5,37-968-4991,80,124,null,null,null,null,hotel
347,4,Latlux,402 918 0909,19393 Saint Paul Park,4,87-421-3314,26,3,null,null,null,null,hotel
348,4,Voltsillam,366 140 9835,52071 Northwestern Place,4,71-939-6022,2,24,null,null,null,null,hotel
349,4,Alphazap,242 467 2985,677 Oakridge Avenue,2,19-367-9871,50,92,null,null,null,null,hotel
350,4,It,457 338 2572,79 Troy Crossing,4,50-930-9653,84,26,null,null,null,null,hotel
351,1,Tin,892 471 4988,93 Tony Place,2,37-987-3796,33,5,null,null,null,null,hotel
352,2,Zaam-Dox,169 391 4649,23 Lawn Court,2,77-449-7620,153,146,null,null,null,null,hotel
353,4,Flexidy,817 450 5218,9273 Sugar Place,5,26-893-8638,127,34,null,null,null,null,hotel
354,1,Span,157 768 4172,95563 Coolidge Avenue,5,96-055-0372,155,67,null,null,null,null,hotel
355,1,Kanlam,577 800 1568,63 Monica Trail,3,07-452-7633,26,53,null,null,null,null,hotel
356,3,Duobam,421 393 9319,2 Arizona Way,4,22-461-0052,71,47,null,null,null,null,hotel
357,3,Ronstring,171 996 8747,75 Meadow Valley Road,4,73-355-3822,133,95,null,null,null,null,hotel
358,4,Fintone,394 557 9311,34 Walton Hill,2,09-065-5053,88,24,null,null,null,null,hotel
359,2,Bitchip,573 437 9936,932 Carpenter Road,5,30-441-2641,54,133,null,null,null,null,hotel
360,2,Holdlamis,498 721 9363,49 Laurel Center,2,47-385-1859,12,157,null,null,null,null,hotel
361,2,Redhold,652 923 7791,014 Muir Hill,5,69-777-3916,50,75,null,null,null,null,hotel
362,2,Sub-Ex,403 340 4397,8676 Holy Cross Plaza,5,19-504-2361,5,121,null,null,null,null,hotel
363,4,Cardify,772 493 9471,3276 Pine View Terrace,3,16-993-1798,33,11,null,null,null,null,hotel
364,4,Overhold,274 535 3027,481 Oneill Center,3,93-010-6711,153,150,null,null,null,null,hotel
365,3,Stringtough,827 905 0674,2567 Monterey Drive,4,47-710-2770,143,22,null,null,null,null,hotel
366,2,Voltsillam,710 701 6303,87 Mallard Parkway,5,94-652-4167,74,142,null,null,null,null,hotel
367,1,Regrant,223 779 3094,1617 Mockingbird Street,2,98-730-9688,132,7,null,null,null,null,hotel
368,3,Zontrax,387 679 4492,7088 Vernon Trail,5,29-979-7819,138,8,null,null,null,null,hotel
369,1,Aerified,677 747 6410,85432 Larry Pass,3,95-125-8175,87,91,null,null,null,null,hotel
370,2,Andalax,752 325 3119,35 Weeping Birch Street,2,09-247-9524,108,128,null,null,null,null,hotel
371,3,Sonsing,888 538 7830,4415 Rigney Hill,5,61-587-8061,43,32,null,null,null,null,hotel
372,4,Matsoft,172 496 7334,735 Ridgeway Terrace,4,19-250-9304,129,79,null,null,null,null,hotel
373,3,Cookley,254 909 1412,8793 Elgar Terrace,4,07-964-1842,79,81,null,null,null,null,hotel
374,3,Zontrax,323 549 1899,2 Kenwood Place,2,88-647-9712,132,63,null,null,null,null,hotel
375,3,Flexidy,363 769 9468,2 Browning Lane,3,36-795-6955,154,41,null,null,null,null,hotel
376,1,Daltfresh,207 207 5738,327 Petterle Alley,4,70-374-0561,143,99,null,null,null,null,hotel
377,4,Bitchip,627 816 6036,7412 Grasskamp Road,2,43-867-6131,11,110,null,null,null,null,hotel
378,1,Cookley,862 620 3956,0369 Knutson Circle,2,85-786-7769,152,72,null,null,null,null,hotel
379,2,Ventosanzap,689 271 9156,49 Daystar Parkway,4,09-662-3371,10,149,null,null,null,null,hotel
380,1,Fintone,871 189 0050,25 Comanche Circle,2,12-618-8423,51,3,null,null,null,null,hotel
381,4,Viva,202 229 5207,089 Hagan Road,2,09-785-9327,65,17,null,null,null,null,hotel
382,2,Transcof,957 946 4994,448 Grim Trail,4,41-636-8324,82,17,null,null,null,null,hotel
383,2,Kanlam,294 263 5714,4369 Independence Hill,4,48-134-1623,128,64,null,null,null,null,hotel
384,2,Stringtough,321 251 9924,61 Golf Course Point,3,44-102-4141,42,98,null,null,null,null,hotel
385,3,Vagram,404 934 3130,80 Lakewood Junction,2,87-185-9944,126,23,null,null,null,null,hotel
386,4,Gembucket,230 712 7684,620 Fuller Drive,2,86-436-1572,106,11,null,null,null,null,hotel
387,3,Asoka,904 523 9070,0151 Crest Line Trail,2,00-542-5976,78,147,null,null,null,null,hotel
388,2,Tresom,680 823 0966,99 Manley Road,4,09-376-3612,99,105,null,null,null,null,hotel
389,2,Prodder,580 305 8501,8 Burrows Center,2,70-031-7036,92,140,null,null,null,null,hotel
390,2,Stringtough,916 249 8982,53013 Brentwood Terrace,5,87-998-1917,25,7,null,null,null,null,hotel
391,2,Vagram,376 312 5667,41631 Waywood Parkway,3,04-747-8703,77,44,null,null,null,null,hotel
392,3,Tampflex,307 107 3002,17437 Bunker Hill Parkway,4,78-202-6645,153,81,null,null,null,null,hotel
393,4,Aerified,619 514 4480,94 Maryland Parkway,3,52-430-9092,39,21,null,null,null,null,hotel
394,1,Zathin,986 389 2434,772 Fremont Alley,3,91-629-8741,105,149,null,null,null,null,hotel
395,1,Zaam-Dox,896 655 6971,9 Susan Junction,2,08-770-3405,32,16,null,null,null,null,hotel
396,4,Job,263 172 3175,379 Erie Drive,3,35-202-3945,33,33,null,null,null,null,hotel
397,3,Bigtax,113 256 5687,01260 Caliangt Terrace,3,07-013-4569,149,70,null,null,null,null,hotel
398,2,Fixflex,585 262 8047,965 Melvin Hill,4,73-547-1870,88,143,null,null,null,null,hotel
399,2,Trippledex,926 133 7053,2 Amoth Trail,3,44-929-7058,31,28,null,null,null,null,hotel
400,2,Home Ing,422 213 8573,9204 Forest Dale Road,4,25-052-6171,79,139,null,null,null,null,hotel
401,1,Opela,344 467 5227,134 Heath Street,5,08-916-5113,77,26,null,null,null,null,hotel
402,2,Sub-Ex,768 792 0561,572 Elka Park,3,89-132-9130,65,7,null,null,null,null,hotel
403,2,Gembucket,850 864 7886,9 Hoepker Court,3,67-289-4243,27,13,null,null,null,null,hotel
404,4,Andalax,296 909 0648,6935 Kensington Lane,2,13-057-3588,75,16,null,null,null,null,hotel
405,3,Y-find,247 211 7330,084 Stephen Road,2,25-330-7939,112,142,null,null,null,null,hotel
406,1,Fintone,192 402 5644,96 Becker Trail,2,83-237-9933,70,151,null,null,null,null,hotel
407,2,Zaam-Dox,999 901 7501,737 Canary Crossing,2,83-957-9488,140,120,null,null,null,null,hotel
408,2,Zamit,586 502 6983,9 Del Sol Avenue,4,26-915-7265,51,37,null,null,null,null,hotel
409,1,Tempsoft,828 897 1416,78 Sage Trail,5,99-029-2756,31,10,null,null,null,null,hotel
410,4,Wrapsafe,194 197 1429,9 Melrose Park,5,41-904-1388,53,102,null,null,null,null,hotel
411,4,Fintone,294 764 6800,9 Texas Way,3,22-764-7411,160,140,null,null,null,null,hotel
412,3,Gembucket,815 147 0501,32 Eastlawn Lane,4,64-700-1705,60,38,null,null,null,null,hotel
413,3,Tampflex,805 556 9243,74 Almo Way,2,95-801-4684,5,69,null,null,null,null,hotel
414,1,Duobam,946 701 7290,441 Fairfield Terrace,5,42-889-1616,112,125,null,null,null,null,hotel
415,1,Tempsoft,260 201 8544,78 Brown Pass,5,25-151-4288,37,74,null,null,null,null,hotel
416,4,Lotstring,100 655 3959,22025 David Avenue,4,37-685-3767,152,119,null,null,null,null,hotel
417,1,Bamity,991 644 3762,126 Emmet Circle,4,32-822-8976,18,91,null,null,null,null,hotel
418,2,Duobam,137 971 6006,95513 Division Hill,2,03-183-8064,77,144,null,null,null,null,hotel
419,4,Solarbreeze,698 278 0382,9 Mccormick Alley,3,72-289-7069,79,36,null,null,null,null,hotel
420,1,Cookley,249 736 0556,5654 Linden Street,2,53-279-1999,111,116,null,null,null,null,hotel
421,4,Opela,215 975 9114,828 Nevada Drive,5,30-407-5798,28,68,null,null,null,null,hotel
422,4,Sonsing,120 786 3917,02955 Dahle Parkway,4,93-280-2779,52,41,null,null,null,null,hotel
423,3,Biodex,812 943 9908,64 Sutherland Drive,4,41-069-5477,117,40,null,null,null,null,hotel
424,3,Redhold,249 790 8814,79 Redwing Park,5,25-388-4445,137,4,null,null,null,null,hotel
425,1,Namfix,802 482 1708,0702 Vidon Alley,4,08-048-5333,133,93,null,null,null,null,hotel
426,3,Gembucket,181 940 9286,5910 Susan Hill,5,31-811-4538,131,119,null,null,null,null,hotel
427,1,Subin,303 634 3248,6 Reindahl Street,3,72-541-1045,90,84,null,null,null,null,hotel
428,4,Matsoft,912 298 2035,0267 Prairieview Court,3,13-386-3027,71,82,null,null,null,null,hotel
429,1,Prodder,601 624 7351,3 Paget Lane,5,44-144-8289,60,60,null,null,null,null,hotel
430,2,Konklab,326 785 2024,64 Transport Trail,3,43-382-9853,136,159,null,null,null,null,hotel
431,4,Keylex,238 172 5033,1 Iowa Lane,2,53-905-9488,152,65,null,null,null,null,hotel
432,4,Rank,959 998 1583,9695 Jenifer Park,2,89-017-1421,145,135,null,null,null,null,hotel
433,2,Hatity,594 150 3737,1 Prairie Rose Lane,2,54-772-0203,59,143,null,null,null,null,hotel
434,2,Sonsing,460 111 9485,226 Forster Crossing,3,14-075-9430,121,42,null,null,null,null,hotel
435,2,Prodder,817 679 1153,317 Commercial Street,4,34-752-2557,142,60,null,null,null,null,hotel
436,1,Alpha,690 360 4790,5 Northview Park,3,67-808-5511,97,50,null,null,null,null,hotel
437,2,Konklux,795 415 8965,38 Arizona Point,3,22-833-7844,57,4,null,null,null,null,hotel
438,3,Tres-Zap,673 806 8693,984 Rutledge Road,4,46-011-9778,60,84,null,null,null,null,hotel
439,4,Y-find,961 885 2193,1636 Cherokee Avenue,2,30-833-5301,107,95,null,null,null,null,hotel
440,4,It,739 951 2620,71396 Summerview Road,5,50-391-4690,21,57,null,null,null,null,hotel
441,1,Trippledex,739 485 3156,6 Talisman Street,3,43-424-2074,151,74,null,null,null,null,hotel
442,4,Redhold,989 257 5226,23022 Kropf Pass,5,92-427-6959,125,104,null,null,null,null,hotel
443,1,Vagram,500 501 7950,7367 Valley Edge Drive,5,05-896-4315,88,107,null,null,null,null,hotel
444,4,Y-Solowarm,798 299 3544,0 Mallory Court,2,31-303-3469,48,84,null,null,null,null,hotel
445,1,Cardify,927 726 3865,6 Southridge Trail,4,61-592-0135,56,55,null,null,null,null,hotel
446,3,Zathin,689 826 9283,89833 Schiller Parkway,2,50-117-6619,3,96,null,null,null,null,hotel
447,3,Konklab,995 979 9668,04 Clarendon Way,3,91-934-7767,18,120,null,null,null,null,hotel
448,1,Wrapsafe,298 547 1686,7 Fisk Alley,4,53-775-9849,104,26,null,null,null,null,hotel
449,2,Sonair,495 866 3736,52 Schiller Drive,4,09-500-6414,112,49,null,null,null,null,hotel
450,2,It,809 305 9635,45507 Sutteridge Center,3,96-649-6544,69,41,null,null,null,null,hotel
451,2,Sonair,742 675 3952,02609 Dorton Plaza,5,44-262-8495,69,122,null,null,null,null,hotel
452,1,Treeflex,806 463 7914,0049 Ramsey Court,5,91-374-1942,2,40,null,null,null,null,hotel
453,4,Zontrax,868 569 5870,1463 Kinsman Lane,2,77-759-2980,127,9,null,null,null,null,hotel
454,1,Sub-Ex,418 103 3975,0 Pawling Trail,2,58-191-8949,32,18,null,null,null,null,hotel
455,1,Viva,432 916 9710,62859 Doe Crossing Center,4,22-800-3874,45,2,null,null,null,null,hotel
456,2,Gembucket,688 913 7438,7 Morningstar Hill,3,30-044-6476,73,158,null,null,null,null,hotel
457,3,Voyatouch,468 221 2105,88797 Dottie Way,5,58-647-3594,126,13,null,null,null,null,hotel
458,1,Kanlam,629 331 7941,70340 Redwing Street,4,05-302-8604,65,32,null,null,null,null,hotel
459,2,Cardify,559 580 6871,5 Debra Center,5,61-289-7468,103,57,null,null,null,null,hotel
460,2,Job,735 690 1131,56014 Becker Crossing,4,66-569-6677,158,27,null,null,null,null,hotel
461,1,Solarbreeze,623 504 3351,5587 Clove Parkway,5,69-359-0644,93,45,null,null,null,null,hotel
462,1,Sub-Ex,511 395 0686,3 Moland Center,5,40-791-0540,91,26,null,null,null,null,hotel
463,1,Sonsing,342 301 4314,02975 Muir Hill,2,11-696-7595,110,45,null,null,null,null,hotel
464,3,Y-find,959 819 4404,67157 Maple Center,5,53-151-7876,83,76,null,null,null,null,hotel
465,3,Zontrax,595 694 7371,5 Westend Terrace,3,73-607-0789,49,142,null,null,null,null,hotel
466,2,Otcom,857 476 5247,64036 Pearson Road,4,61-919-9513,133,89,null,null,null,null,hotel
467,2,Asoka,795 862 8711,28810 Susan Junction,2,29-831-5010,24,123,null,null,null,null,hotel
468,2,Viva,193 956 9545,72 Waxwing Crossing,5,43-861-8461,93,5,null,null,null,null,hotel
469,1,Ronstring,304 873 3761,04 Cordelia Drive,3,18-048-1034,131,121,null,null,null,null,hotel
470,1,Gembucket,302 114 1607,29347 Springview Drive,5,32-465-8520,156,100,null,null,null,null,hotel
471,2,Greenlam,220 676 9152,936 Golf View Court,5,40-157-6672,86,134,null,null,null,null,hotel
472,3,Regrant,811 783 1822,17291 Debs Park,5,38-602-6000,112,48,null,null,null,null,hotel
473,3,Home Ing,542 356 5680,6 Ronald Regan Trail,4,20-691-3279,34,139,null,null,null,null,hotel
474,1,Bamity,888 259 1249,91596 Chinook Junction,3,43-711-4750,80,81,null,null,null,null,hotel
475,1,Bitwolf,579 134 0311,676 Hermina Terrace,4,91-124-6600,106,2,null,null,null,null,hotel
476,2,Tres-Zap,332 647 9081,2 Ridge Oak Park,3,30-650-9972,108,6,null,null,null,null,hotel
477,2,Flexidy,532 691 4201,93946 Heffernan Point,2,76-429-6391,42,63,null,null,null,null,hotel
478,1,Toughjoyfax,397 233 2918,413 Lawn Parkway,2,66-051-8602,2,40,null,null,null,null,hotel
479,1,Sub-Ex,743 584 9709,9739 Mitchell Drive,5,66-747-1251,88,119,null,null,null,null,hotel
480,1,Daltfresh,471 899 1434,13886 Oriole Way,4,87-214-5974,102,3,null,null,null,null,hotel
481,1,Fintone,397 633 2736,8005 Pleasure Junction,3,32-669-4485,26,70,null,null,null,null,hotel
482,3,Toughjoyfax,669 419 0773,06662 Jana Court,4,23-330-0308,76,32,null,null,null,null,hotel
483,3,Y-Solowarm,621 635 4719,33 Delaware Pass,2,89-469-1476,148,156,null,null,null,null,hotel
484,2,Cardguard,824 804 9054,9862 Burrows Pass,4,04-547-9489,51,104,null,null,null,null,hotel
485,1,Bitwolf,733 458 2294,9 Norway Maple Way,2,27-464-3468,88,3,null,null,null,null,hotel
486,3,Zamit,150 799 7498,28214 Charing Cross Trail,4,72-919-9496,100,149,null,null,null,null,hotel
487,2,Flowdesk,298 502 7906,7 Waywood Parkway,4,48-927-7066,134,41,null,null,null,null,hotel
488,3,Tempsoft,643 704 1742,96603 Sycamore Trail,4,53-679-9477,54,100,null,null,null,null,hotel
489,4,Domainer,669 654 6751,0641 Autumn Leaf Alley,2,95-695-8911,64,5,null,null,null,null,hotel
490,3,Cardguard,247 317 6837,73 Village Green Avenue,5,00-683-6051,80,103,null,null,null,null,hotel
491,4,Kanlam,512 547 3137,38 Pearson Plaza,5,09-672-5833,65,106,null,null,null,null,hotel
492,3,Gembucket,420 150 4232,375 Laurel Lane,4,99-068-8832,44,136,null,null,null,null,hotel
493,4,Holdlamis,360 157 1997,5 Heath Plaza,3,99-231-9272,3,129,null,null,null,null,hotel
494,3,Tres-Zap,411 243 8833,61225 Little Fleur Circle,2,76-071-0878,123,5,null,null,null,null,hotel
495,3,It,562 613 8623,1212 Marcy Way,3,28-440-9276,102,120,null,null,null,null,hotel
496,4,Sonair,849 493 2581,680 Lukken Pass,5,55-339-3006,6,23,null,null,null,null,hotel
497,2,Fintone,923 654 0601,12 Sunfield Hill,4,14-139-1433,87,147,null,null,null,null,hotel
498,1,Zamit,971 637 1997,3 Lillian Trail,2,45-377-2187,110,91,null,null,null,null,hotel
499,2,Ronstring,741 993 4385,72650 Roxbury Drive,5,86-750-9869,18,112,null,null,null,null,hotel
500,2,Bamity,121 324 4992,97 Paget Hill,4,78-972-8968,145,135,null,null,null,null,hotel
501,2,Bytecard,110 178 2834,5552 Truax Place,4,85-954-1364,12,154,null,null,null,null,hotel
502,3,Solarbreeze,621 387 2670,1 Oakridge Way,4,67-537-3496,65,89,null,null,null,null,hotel
503,2,It,242 942 3853,9579 Gale Junction,5,87-385-3650,130,118,null,null,null,null,hotel
504,1,Andalax,559 958 8543,4 Brentwood Trail,3,31-940-8733,124,39,null,null,null,null,hotel
505,4,Tresom,102 815 7302,3 Coolidge Way,5,50-331-6588,79,99,null,null,null,null,hotel
506,1,Duobam,150 532 0878,4052 American Ash Place,5,91-645-0802,95,126,null,null,null,null,hotel
507,1,Daltfresh,314 935 9823,7 Merrick Road,3,75-525-0638,22,12,null,null,null,null,hotel
508,4,Otcom,831 459 2269,170 Leroy Avenue,5,33-348-1553,3,148,null,null,null,null,hotel
509,2,Regrant,217 372 6078,429 Roxbury Crossing,3,61-318-1491,145,60,null,null,null,null,hotel
510,4,Keylex,208 268 2634,3 Fuller Drive,2,64-226-2752,130,10,null,null,null,null,hotel
511,4,Fixflex,121 171 9909,992 Main Street,2,14-169-9847,83,109,null,null,null,null,hotel
512,1,Kanlam,643 398 0960,83 Nelson Junction,3,54-610-2917,131,8,null,null,null,null,hotel
513,1,Job,159 836 3822,13 Old Gate Way,5,77-343-4266,57,146,null,null,null,null,hotel
514,2,Tresom,599 201 2808,844 Atwood Crossing,4,83-018-6360,25,100,null,null,null,null,hotel
515,4,Veribet,217 168 0526,58452 Milwaukee Lane,5,74-821-3060,150,154,null,null,null,null,hotel
516,3,Prodder,878 662 6403,69 Di Loreto Alley,2,43-473-1517,5,140,null,null,null,null,hotel
517,2,Wrapsafe,218 407 6833,4116 Manley Street,2,37-177-2092,4,80,null,null,null,null,hotel
518,1,Fintone,909 305 9368,52 Hagan Street,2,17-977-1380,44,22,null,null,null,null,hotel
519,2,Alphazap,765 568 9899,5962 Crescent Oaks Hill,3,57-405-1495,138,160,null,null,null,null,hotel
520,3,Alpha,317 728 1476,22585 Duke Center,2,62-767-3434,41,61,null,null,null,null,hotel
521,2,Mat Lam Tam,194 537 9572,6286 Meadow Vale Alley,2,98-839-7406,119,136,null,null,null,null,hotel
522,1,Tampflex,374 172 3210,9850 Brickson Park Alley,2,10-944-9509,43,131,null,null,null,null,hotel
523,4,Fintone,953 942 2288,24067 Forest Crossing,5,60-668-6094,140,103,null,null,null,null,hotel
524,3,Konklab,872 450 5200,1 Valley Edge Avenue,4,15-449-3161,78,16,null,null,null,null,hotel
525,3,Sonair,424 151 3175,4 Mendota Lane,4,69-846-4922,3,6,null,null,null,null,hotel
526,1,Tres-Zap,123 272 0331,011 Parkside Terrace,4,37-303-2990,85,80,null,null,null,null,hotel
527,4,Quo Lux,458 665 3562,35 Buell Point,5,82-080-4355,9,81,null,null,null,null,hotel
528,3,Voltsillam,184 302 2701,2786 Rieder Terrace,3,21-826-9308,146,103,null,null,null,null,hotel
